track_uri,term,index,as_of_date
spotify:track:24nK8tW7Pt3Inh2utttuoG,long_term,1,2023-07-19
spotify:track:6u0pZe0Uv7GBR0iKptfWRf,long_term,2,2023-07-19
spotify:track:1XnpzbOGptRwfJhZgLbmSr,long_term,3,2023-07-19
spotify:track:4SFknyjLcyTLJFPKD2m96o,long_term,4,2023-07-19
spotify:track:7qq0EOPW4RRlqdvMBmdd73,long_term,5,2023-07-19
spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,long_term,6,2023-07-19
spotify:track:1exnDFdC34GyBcaLt9ZJfX,long_term,7,2023-07-19
spotify:track:6hvczQ05jc1yGlp9zhb95V,long_term,8,2023-07-19
spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,long_term,9,2023-07-19
spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,long_term,10,2023-07-19
spotify:track:3dbLT62Cvs46Ju7a8gpr36,long_term,11,2023-07-19
spotify:track:0yB4jrSwN0bFtFRDR5vyMj,long_term,12,2023-07-19
spotify:track:5QGooKayQPVZMUDc8Qt3Dm,long_term,13,2023-07-19
spotify:track:2zrhoHlFKxFTRF5aMyxMoQ,long_term,14,2023-07-19
spotify:track:4BSluGpjdLQihMmKgHXMxp,long_term,15,2023-07-19
spotify:track:1t2qYCAjUAoGfeFeoBlK51,long_term,16,2023-07-19
spotify:track:37ZtpRBkHcaq6hHy0X98zn,long_term,17,2023-07-19
spotify:track:6mavVLsxaa4YcPje9qZKcf,long_term,18,2023-07-19
spotify:track:1VjIS4qoyD6JS2rNZQgE00,long_term,19,2023-07-19
spotify:track:16BS342F89MDqouSxgLaUK,long_term,20,2023-07-19
spotify:track:4as4XEOR03oGm1STUKl6pa,long_term,21,2023-07-19
spotify:track:2ezKXygNO30pXyDQXkm6oD,long_term,22,2023-07-19
spotify:track:26EM9sZnQkLLQxixGd88KE,long_term,23,2023-07-19
spotify:track:7CZRguMolNqIobnXxpV735,long_term,24,2023-07-19
spotify:track:46wDG6evLn2iPoQ0F8CUWk,long_term,25,2023-07-19
spotify:track:5Z4aqpT39KpY8gbHoJWdou,long_term,26,2023-07-19
spotify:track:64iDjAuWDogVhuoWhKklF9,long_term,27,2023-07-19
spotify:track:0U9jNoTJeTxXToakhsb7pV,long_term,28,2023-07-19
spotify:track:1OBb2wZMXKNmtdyyejLIyL,long_term,29,2023-07-19
spotify:track:1TUkEXQrskATO9SoB4QMUN,long_term,30,2023-07-19
spotify:track:56Yxkm62GtEpnPyG7TvwLY,long_term,31,2023-07-19
spotify:track:2hJS7BdEaH9Jo8MeJujsHT,long_term,32,2023-07-19
spotify:track:3OC2C8IpFhbUJTeMe55QYn,long_term,33,2023-07-19
spotify:track:3JBnDOUd18QKjDqSYuOfpm,long_term,34,2023-07-19
spotify:track:5vCuawHQ8Poch1odz9JDpB,long_term,35,2023-07-19
spotify:track:5xrtzzzikpG3BLbo4q1Yul,long_term,36,2023-07-19
spotify:track:0lYtIvI7bO51PZSeK22Mbz,long_term,37,2023-07-19
spotify:track:405SQUJdQut02dxtuQ0CZ3,long_term,38,2023-07-19
spotify:track:6rcn967QN5JtkPOBDwYIuT,long_term,39,2023-07-19
spotify:track:37LhFxchiyAJVop5JgRZgY,long_term,40,2023-07-19
spotify:track:6ZQmJVUuXk1Q27d8vkmgm8,long_term,41,2023-07-19
spotify:track:2iW0q5jJJT5HKlIs25AAgv,long_term,42,2023-07-19
spotify:track:3QdjLOemIcMZovVOnvJP7P,long_term,43,2023-07-19
spotify:track:2ujA6F1cpk3m8lsPE5aKua,long_term,44,2023-07-19
spotify:track:2wVDWtLKXunswWecARNILj,long_term,45,2023-07-19
spotify:track:13MF2TYuyfITClL1R2ei6e,long_term,46,2023-07-19
spotify:track:3eHkFA3StDR9BU7EVrUFLs,long_term,47,2023-07-19
spotify:track:5elW2CKSoqjYoJ32AGDxf1,long_term,48,2023-07-19
spotify:track:0UzymivvUH5s8z4PeWZJaK,long_term,49,2023-07-19
spotify:track:2DmRXiyn03tOqKgEJXlaiJ,long_term,50,2023-07-19
spotify:track:0mlxHb4jbPr1PUBUv0WHRS,medium_term,1,2023-07-19
spotify:track:6stcJnJHPO8RrYx5LLz5OP,medium_term,2,2023-07-19
spotify:track:7ixVW7RobslvMrvlzHYLha,medium_term,3,2023-07-19
spotify:track:1ULdASrNy5rurl1TZfFaMP,medium_term,4,2023-07-19
spotify:track:3OC2C8IpFhbUJTeMe55QYn,medium_term,5,2023-07-19
